card_id,customer_id,product_id,linked_account_id,issue_year,card_status,closing_year,issue_channel
K0000052,C0000125,P009,A0000070,2012,CLOSED,2013,REMOTE_ASSISTED
K0000053,C0000131,P009,A0000071,2019,CLOSED,2025,BRANCH
K0000054,C0000133,P009,A0000072,2008,CLOSED,2022,BRANCH
K0000055,C0000134,P009,A0000073,2020,CLOSED,2025,REMOTE_ASSISTED
K0000056,C0000134,P009,A0000074,2020,CLOSED,2022,DIGITAL
K0000057,C0000134,P009,A0000075,2020,CLOSED,2021,REMOTE_ASSISTED
K0000058,C0000135,P009,A0000076,2017,ACTIVE,,BRANCH
K0000059,C0000137,P009,A0000077,2003,ACTIVE,,BRANCH
K0000060,C0000137,P009,A0000078,2016,ACTIVE,,BRANCH
K0000061,C0000139,P009,A0000079,2016,CLOSED,2024,BRANCH
K0000062,C0000139,P009,A0000080,2015,CLOSED,2023,BRANCH
K0000063,C0000139,P009,A0000081,2019,CLOSED,2020,REMOTE_ASSISTED
K0000064,C0000146,P009,A0000082,1996,CLOSED,1999,BRANCH
K0000065,C0000155,P009,A0000083,2003,CLOSED,2007,BRANCH
K0000066,C0000156,P009,A0000085,1996,CLOSED,1996,BRANCH
K0000067,C0000160,P009,A0000086,2017,ACTIVE,,REMOTE_ASSISTED
K0000068,C0000160,P009,A0000088,2017,ACTIVE,,BRANCH
K0000069,C0000161,P009,A0000089,2017,CLOSED,2024,BRANCH
K0000070,C0000163,P009,A0000090,2012,ACTIVE,,BRANCH
K0000071,C0000163,P009,A0000092,2018,ACTIVE,,BRANCH
K0000072,C0000170,P009,A0000093,2019,CLOSED,2019,BRANCH
K0000073,C0000170,P009,A0000094,2020,CLOSED,2021,REMOTE_ASSISTED
K0000074,C0000174,P009,A0000096,2017,CLOSED,2021,BRANCH
K0000075,C0000176,P009,A0000097,2019,CLOSED,2023,BRANCH
K0000076,C0000179,P009,A0000098,2001,ACTIVE,,BRANCH
K0000077,C0000179,P009,A0000099,2010,CLOSED,2024,BRANCH
K0000078,C0000188,P009,A0000100,2018,CLOSED,2023,BRANCH
K0000079,C0000192,P009,A0000101,2020,CLOSED,2025,BRANCH
K0000080,C0000200,P009,A0000103,2007,CLOSED,2007,BRANCH
K0000081,C0000201,P009,A0000104,2018,CLOSED,2021,BRANCH
K0000082,C0000207,P009,A0000105,2007,CLOSED,2022,BRANCH
K0000083,C0000207,P009,A0000106,2007,CLOSED,2017,BRANCH
K0000084,C0000213,P009,A0000107,2017,CLOSED,2017,BRANCH
K0000085,C0000219,P009,A0000108,2020,CLOSED,2022,BRANCH
K0000086,C0000220,P009,A0000110,2017,ACTIVE,,REMOTE_ASSISTED
K0000087,C0000220,P009,A0000111,2018,CLOSED,2019,BRANCH
K0000088,C0000220,P009,A0000112,2017,ACTIVE,,DIGITAL
K0000089,C0000220,P009,A0000113,2016,ACTIVE,,BRANCH
K0000090,C0000220,P009,A0000114,2016,CLOSED,2021,BRANCH
K0000091,C0000220,P009,A0000115,2018,ACTIVE,,REMOTE_ASSISTED
K0000092,C0000223,P009,A0000116,2017,ACTIVE,,BRANCH
K0000093,C0000224,P009,A0000117,2017,ACTIVE,,BRANCH
K0000094,C0000226,P009,A0000119,2013,CLOSED,2017,BRANCH
K0000095,C0000226,P009,A0000120,2016,ACTIVE,,BRANCH
K0000096,C0000227,P009,A0000122,2013,ACTIVE,,BRANCH
K0000097,C0000229,P009,A0000124,1996,ACTIVE,,BRANCH
K0000098,C0000231,P009,A0000126,2018,CLOSED,2020,REMOTE_ASSISTED
K0000099,C0000236,P009,A0000127,2010,CLOSED,2010,BRANCH
K0000100,C0000236,P009,A0000128,2018,ACTIVE,,REMOTE_ASSISTED
K0000101,C0000240,P009,A0000129,2006,CLOSED,2007,BRANCH
K0000102,C0000243,P009,A0000131,2017,CLOSED,2022,DIGITAL
K0000103,C0000243,P009,A0000132,2019,CLOSED,2025,BRANCH
K0000104,C0000245,P009,A0000133,2020,ACTIVE,,BRANCH
K0000105,C0000245,P009,A0000134,2020,CLOSED,2025,BRANCH
K0000106,C0000246,P009,A0000135,2020,CLOSED,2025,BRANCH
K0000107,C0000246,P009,A0000136,2020,ACTIVE,,REMOTE_ASSISTED
K0000108,C0000247,P009,A0000137,2018,CLOSED,2019,DIGITAL
K0000109,C0000247,P009,A0000138,2015,CLOSED,2018,BRANCH
K0000110,C0000248,P009,A0000139,2018,CLOSED,2025,BRANCH
K0000111,C0000251,P009,A0000140,2018,CLOSED,2018,DIGITAL
K0000112,C0000257,P009,A0000141,2013,CLOSED,2017,REMOTE_ASSISTED
K0000113,C0000259,P009,A0000142,2003,CLOSED,2008,BRANCH
K0000114,C0000260,P009,A0000143,2017,ACTIVE,,BRANCH
K0000115,C0000260,P009,A0000144,2018,CLOSED,2019,REMOTE_ASSISTED
K0000116,C0000269,P009,A0000145,2019,ACTIVE,,BRANCH
K0000117,C0000271,P009,A0000146,2019,CLOSED,2020,DIGITAL
K0000118,C0000272,P009,A0000148,2017,CLOSED,2024,BRANCH
K0000119,C0000274,P009,A0000149,2016,ACTIVE,,BRANCH
K0000120,C0000276,P009,A0000152,2017,CLOSED,2018,BRANCH
K0000121,C0000277,P009,A0000153,2006,CLOSED,2026,BRANCH
K0000122,C0000277,P009,A0000154,2010,CLOSED,2026,BRANCH
K0000123,C0000283,P009,A0000155,2019,ACTIVE,,BRANCH
K0000124,C0000285,P009,A0000156,2011,CLOSED,2023,BRANCH
K0000125,C0000287,P009,A0000157,2003,CLOSED,2014,BRANCH
K0000126,C0000291,P009,A0000158,1996,CLOSED,2009,BRANCH
K0000127,C0000291,P009,A0000163,2011,CLOSED,2017,REMOTE_ASSISTED
K0000128,C0000291,P009,A0000164,2006,CLOSED,2007,BRANCH
K0000129,C0000295,P009,A0000165,2018,CLOSED,2025,DIGITAL
K0000130,C0000296,P009,A0000166,2018,CLOSED,2020,BRANCH
K0000131,C0000297,P009,A0000167,2017,CLOSED,2023,BRANCH
K0000132,C0000300,P009,A0000169,2001,CLOSED,2003,BRANCH
K0000133,C0000305,P009,A0000171,2020,ACTIVE,,BRANCH
K0000134,C0000307,P009,A0000172,2018,CLOSED,2024,BRANCH
K0000135,C0000307,P009,A0000173,2019,CLOSED,2021,DIGITAL
K0000136,C0000310,P009,A0000174,2009,CLOSED,2021,BRANCH
K0000137,C0000315,P009,A0000175,1999,CLOSED,2024,BRANCH
K0000138,C0000321,P009,A0000177,2007,CLOSED,2026,BRANCH
K0000139,C0000326,P009,A0000178,2014,CLOSED,2023,BRANCH
K0000140,C0000326,P009,A0000179,2014,CLOSED,2016,BRANCH
K0000141,C0000326,P009,A0000181,2020,ACTIVE,,BRANCH
K0000142,C0000339,P009,A0000182,2020,CLOSED,2024,REMOTE_ASSISTED
K0000143,C0000340,P009,A0000183,2017,ACTIVE,,BRANCH
K0000144,C0000340,P009,A0000184,2018,ACTIVE,,BRANCH
K0000145,C0000345,P009,A0000189,2017,CLOSED,2025,DIGITAL
K0000146,C0000350,P009,A0000191,2018,CLOSED,2023,DIGITAL
K0000147,C0000350,P009,A0000192,2020,ACTIVE,,REMOTE_ASSISTED
K0000148,C0000350,P009,A0000193,2019,CLOSED,2019,REMOTE_ASSISTED
K0000149,C0000350,P009,A0000194,2020,ACTIVE,,DIGITAL
K0000150,C0000350,P009,A0000195,2018,ACTIVE,,BRANCH
K0000151,C0000350,P009,A0000196,2020,CLOSED,2026,DIGITAL
K0000152,C0000353,P009,A0000197,2020,ACTIVE,,BRANCH
K0000153,C0000356,P009,A0000198,2007,ACTIVE,,BRANCH
K0000154,C0000356,P009,A0000199,1998,CLOSED,2012,BRANCH
K0000155,C0000356,P009,A0000200,2003,CLOSED,2006,BRANCH
K0000156,C0000356,P009,A0000201,2001,CLOSED,2022,BRANCH
K0000157,C0000358,P009,A0000203,2017,ACTIVE,,REMOTE_ASSISTED
K0000158,C0000358,P009,A0000204,2020,CLOSED,2020,REMOTE_ASSISTED
K0000159,C0000360,P009,A0000205,2020,CLOSED,2021,BRANCH
K0000160,C0000367,P009,A0000206,2018,CLOSED,2025,DIGITAL
K0000161,C0000367,P009,A0000207,2020,ACTIVE,,BRANCH
K0000162,C0000370,P009,A0000208,2019,CLOSED,2020,BRANCH
K0000163,C0000371,P009,A0000209,2017,ACTIVE,,BRANCH
K0000164,C0000373,P009,A0000211,2017,CLOSED,2017,DIGITAL
K0000165,C0000378,P009,A0000212,2008,CLOSED,2011,BRANCH
K0000166,C0000389,P009,A0000213,2011,CLOSED,2024,BRANCH
K0000167,C0000392,P009,A0000214,2001,CLOSED,2010,BRANCH
K0000168,C0000392,P009,A0000215,2003,CLOSED,2007,BRANCH
K0000169,C0000397,P009,A0000216,2012,CLOSED,2022,BRANCH
K0000170,C0000397,P009,A0000217,2016,ACTIVE,,BRANCH
K0000171,C0000399,P009,A0000218,2018,CLOSED,2019,BRANCH
K0000172,C0000402,P009,A0000219,2014,CLOSED,2016,DIGITAL
K0000173,C0000409,P009,A0000220,2018,CLOSED,2021,REMOTE_ASSISTED
K0000174,C0000410,P009,A0000221,2001,CLOSED,2004,BRANCH
K0000175,C0000413,P009,A0000222,2004,CLOSED,2011,BRANCH
K0000176,C0000413,P009,A0000223,2010,CLOSED,2022,BRANCH
K0000177,C0000413,P009,A0000226,1997,CLOSED,2002,BRANCH
K0000178,C0000416,P009,A0000228,2020,ACTIVE,,DIGITAL
K0000179,C0000420,P009,A0000229,2019,ACTIVE,,REMOTE_ASSISTED
K0000180,C0000422,P009,A0000231,1996,CLOSED,1996,BRANCH
K0000181,C0000429,P009,A0000232,1998,ACTIVE,,BRANCH
K0000182,C0000430,P009,A0000234,1996,CLOSED,1996,BRANCH
K0000183,C0000430,P009,A0000235,1996,CLOSED,1998,BRANCH
K0000184,C0000430,P009,A0000236,2004,CLOSED,2004,BRANCH
K0000185,C0000430,P009,A0000240,2001,CLOSED,2001,BRANCH
K0000186,C0000430,P009,A0000241,1999,CLOSED,1999,BRANCH
K0000187,C0000432,P009,A0000243,2008,CLOSED,2008,BRANCH
K0000188,C0000432,P009,A0000244,2009,CLOSED,2009,BRANCH
K0000189,C0000432,P009,A0000245,2008,CLOSED,2008,BRANCH
K0000190,C0000432,P009,A0000246,2008,CLOSED,2009,BRANCH
K0000191,C0000432,P009,A0000247,2009,CLOSED,2009,BRANCH
K0000192,C0000434,P009,A0000249,2010,CLOSED,2021,BRANCH
K0000193,C0000434,P009,A0000251,2005,CLOSED,2009,BRANCH
K0000194,C0000435,P009,A0000252,2018,CLOSED,2018,BRANCH
K0000195,C0000441,P009,A0000254,2015,CLOSED,2022,DIGITAL
K0000196,C0000441,P009,A0000256,2020,CLOSED,2020,DIGITAL
K0000197,C0000441,P009,A0000257,2017,CLOSED,2022,BRANCH
K0000198,C0000442,P009,A0000260,2016,CLOSED,2018,BRANCH
K0000199,C0000447,P009,A0000261,2016,CLOSED,2026,BRANCH
K0000200,C0000447,P009,A0000262,2019,CLOSED,2026,DIGITAL
K0000201,C0000450,P009,A0000263,2001,CLOSED,2003,BRANCH
K0000202,C0000450,P009,A0000264,2016,CLOSED,2023,BRANCH
K0000203,C0000450,P009,A0000265,2002,CLOSED,2021,BRANCH
K0000204,C0000451,P009,A0000266,2014,CLOSED,2025,BRANCH
K0000205,C0000451,P009,A0000267,2014,ACTIVE,,BRANCH
K0000206,C0000454,P009,A0000268,2019,CLOSED,2020,BRANCH
K0000207,C0000454,P009,A0000269,2019,CLOSED,2021,REMOTE_ASSISTED
K0000208,C0000454,P009,A0000270,2020,CLOSED,2020,DIGITAL
K0000209,C0000454,P009,A0000271,2019,ACTIVE,,DIGITAL
K0000210,C0000457,P009,A0000272,2017,CLOSED,2024,BRANCH
K0000211,C0000457,P009,A0000273,2018,ACTIVE,,BRANCH
K0000212,C0000457,P009,A0000275,2020,CLOSED,2020,DIGITAL
K0000213,C0000464,P009,A0000276,2018,ACTIVE,,BRANCH
K0000214,C0000464,P009,A0000277,2015,CLOSED,2016,BRANCH
K0000215,C0000464,P009,A0000278,2015,ACTIVE,,BRANCH
K0000216,C0000467,P009,A0000279,2001,CLOSED,2001,BRANCH
K0000217,C0000467,P009,A0000280,2001,CLOSED,2001,BRANCH
K0000218,C0000467,P009,A0000281,2000,CLOSED,2000,BRANCH
K0000219,C0000467,P009,A0000282,2001,CLOSED,2001,BRANCH
K0000220,C0000468,P009,A0000283,2002,CLOSED,2021,BRANCH
K0000221,C0000471,P009,A0000285,2014,ACTIVE,,BRANCH
K0000222,C0000471,P009,A0000286,2018,CLOSED,2024,BRANCH
K0000223,C0000475,P009,A0000288,2020,CLOSED,2024,BRANCH
K0000224,C0000475,P009,A0000289,2020,ACTIVE,,DIGITAL
K0000225,C0000476,P009,A0000290,2002,CLOSED,2005,BRANCH
K0000226,C0000476,P009,A0000292,2000,CLOSED,2000,BRANCH
K0000227,C0000478,P009,A0000293,2020,CLOSED,2023,REMOTE_ASSISTED
K0000228,C0000493,P009,A0000296,2000,CLOSED,2024,BRANCH
K0000229,C0000502,P009,A0000297,2019,ACTIVE,,DIGITAL
K0000230,C0000502,P009,A0000298,2020,CLOSED,2020,BRANCH
K0000231,C0000502,P009,A0000299,2020,ACTIVE,,REMOTE_ASSISTED
K0000232,C0000505,P009,A0000300,2013,CLOSED,2015,BRANCH
K0000233,C0000505,P009,A0000302,2012,CLOSED,2023,BRANCH
K0000234,C0000510,P009,A0000303,2019,CLOSED,2019,BRANCH
K0000235,C0000511,P009,A0000304,2020,CLOSED,2022,BRANCH
K0000236,C0000518,P009,A0000305,2019,CLOSED,2022,DIGITAL
K0000237,C0000518,P009,A0000306,2020,CLOSED,2022,DIGITAL
K0000238,C0000521,P009,A0000307,2020,CLOSED,2020,BRANCH
K0000239,C0000521,P009,A0000308,2020,CLOSED,2020,BRANCH
K0000240,C0000522,P009,A0000309,2018,ACTIVE,,BRANCH
K0000241,C0000522,P009,A0000310,2020,ACTIVE,,DIGITAL
K0000242,C0000524,P009,A0000313,2003,CLOSED,2008,BRANCH
K0000243,C0000524,P009,A0000314,2013,ACTIVE,,REMOTE_ASSISTED
K0000244,C0000524,P009,A0000315,2004,ACTIVE,,BRANCH
K0000245,C0000527,P009,A0000318,2020,CLOSED,2021,REMOTE_ASSISTED
K0000246,C0000527,P009,A0000319,2019,CLOSED,2020,BRANCH
K0000247,C0000531,P009,A0000322,2020,CLOSED,2024,REMOTE_ASSISTED
K0000248,C0000533,P009,A0000323,2012,CLOSED,2022,BRANCH
K0000249,C0000533,P009,A0000324,2004,ACTIVE,,BRANCH
K0000250,C0000533,P009,A0000325,2014,CLOSED,2026,BRANCH
K0000251,C0000534,P009,A0000327,2018,CLOSED,2019,DIGITAL
K0000252,C0000534,P009,A0000328,2019,CLOSED,2019,BRANCH
K0000253,C0000540,P009,A0000329,2014,CLOSED,2025,BRANCH
K0000254,C0000542,P009,A0000330,1998,CLOSED,2023,BRANCH
K0000255,C0000549,P009,A0000331,2020,CLOSED,2021,DIGITAL
K0000256,C0000549,P009,A0000332,2018,CLOSED,2021,DIGITAL
K0000257,C0000551,P009,A0000334,2019,CLOSED,2019,REMOTE_ASSISTED
K0000258,C0000555,P009,A0000336,2020,CLOSED,2020,REMOTE_ASSISTED
K0000259,C0000556,P009,A0000337,2018,CLOSED,2019,BRANCH
K0000260,C0000556,P009,A0000338,2020,CLOSED,2020,BRANCH
K0000261,C0000557,P009,A0000339,2018,CLOSED,2022,BRANCH
K0000262,C0000571,P009,A0000341,2016,CLOSED,2018,BRANCH
K0000263,C0000571,P009,A0000342,2010,CLOSED,2013,BRANCH
K0000264,C0000572,P009,A0000343,2010,CLOSED,2026,BRANCH
K0000265,C0000580,P009,A0000344,2009,CLOSED,2012,BRANCH
K0000266,C0000583,P009,A0000345,2012,ACTIVE,,BRANCH
K0000267,C0000586,P009,A0000346,2019,CLOSED,2021,BRANCH
K0000268,C0000590,P009,A0000347,2020,CLOSED,2020,REMOTE_ASSISTED
K0000269,C0000594,P009,A0000348,2019,CLOSED,2020,BRANCH
K0000270,C0000594,P009,A0000349,2020,ACTIVE,,DIGITAL
K0000271,C0000596,P009,A0000350,2019,CLOSED,2019,DIGITAL
K0000272,C0000599,P009,A0000351,2019,CLOSED,2021,REMOTE_ASSISTED
K0000273,C0000602,P009,A0000353,2016,CLOSED,2017,BRANCH
K0000274,C0000602,P009,A0000354,2017,ACTIVE,,BRANCH
K0000275,C0000602,P009,A0000356,2017,ACTIVE,,BRANCH
K0000276,C0000602,P009,A0000357,2019,CLOSED,2026,BRANCH
K0000277,C0000602,P009,A0000358,2018,CLOSED,2019,BRANCH
K0000278,C0000604,P009,A0000360,2008,CLOSED,2012,BRANCH
K0000279,C0000605,P009,A0000362,2003,CLOSED,2021,BRANCH
K0000280,C0000605,P009,A0000363,2013,CLOSED,2022,REMOTE_ASSISTED
K0000281,C0000608,P009,A0000364,2016,CLOSED,2016,BRANCH
K0000282,C0000610,P009,A0000365,2019,CLOSED,2021,BRANCH
K0000283,C0000610,P009,A0000366,2018,CLOSED,2019,BRANCH
K0000284,C0000613,P009,A0000367,2018,ACTIVE,,DIGITAL
K0000285,C0000613,P009,A0000368,2020,ACTIVE,,BRANCH
K0000286,C0000618,P009,A0000369,2019,CLOSED,2023,BRANCH
K0000287,C0000624,P009,A0000371,2016,CLOSED,2022,REMOTE_ASSISTED
K0000288,C0000624,P009,A0000372,2011,CLOSED,2022,BRANCH
K0000289,C0000626,P009,A0000373,2019,CLOSED,2022,BRANCH
K0000290,C0000626,P009,A0000374,2017,CLOSED,2021,BRANCH
K0000291,C0000626,P009,A0000375,2020,CLOSED,2024,BRANCH
K0000292,C0000627,P009,A0000376,2009,CLOSED,2010,BRANCH
K0000293,C0000627,P009,A0000377,2013,CLOSED,2015,BRANCH
K0000294,C0000627,P009,A0000378,2011,CLOSED,2012,BRANCH
K0000295,C0000627,P009,A0000379,2014,CLOSED,2014,BRANCH
K0000296,C0000627,P009,A0000380,2012,CLOSED,2013,REMOTE_ASSISTED
K0000297,C0000628,P009,A0000382,2004,CLOSED,2007,BRANCH
K0000298,C0000628,P009,A0000383,1996,CLOSED,2002,BRANCH
K0000299,C0000628,P009,A0000384,2007,CLOSED,2008,BRANCH
K0000300,C0000641,P009,A0000385,2001,ACTIVE,,BRANCH
K0000301,C0000642,P009,A0000386,1996,CLOSED,2024,BRANCH
K0000302,C0000647,P009,A0000388,2019,CLOSED,2021,DIGITAL
K0000303,C0000653,P009,A0000393,2000,CLOSED,2019,BRANCH
K0000304,C0000653,P009,A0000394,2002,CLOSED,2018,BRANCH
K0000305,C0000653,P009,A0000395,2007,CLOSED,2021,BRANCH
K0000306,C0000655,P009,A0000396,2020,CLOSED,2023,DIGITAL
K0000307,C0000657,P009,A0000397,2020,CLOSED,2025,REMOTE_ASSISTED
K0000308,C0000660,P009,A0000398,2018,CLOSED,2021,BRANCH
K0000309,C0000660,P009,A0000399,2019,CLOSED,2020,BRANCH
K0000310,C0000661,P009,A0000400,2011,ACTIVE,,BRANCH
K0000311,C0000669,P009,A0000401,2002,CLOSED,2009,BRANCH
K0000312,C0000669,P009,A0000402,2010,CLOSED,2017,BRANCH
K0000313,C0000677,P009,A0000403,2020,ACTIVE,,BRANCH
K0000314,C0000687,P009,A0000405,2010,CLOSED,2012,BRANCH
K0000315,C0000689,P009,A0000407,2020,CLOSED,2021,BRANCH
K0000316,C0000690,P009,A0000408,2014,ACTIVE,,BRANCH
K0000317,C0000690,P009,A0000409,2008,CLOSED,2009,BRANCH
K0000318,C0000690,P009,A0000410,2018,CLOSED,2023,DIGITAL
K0000319,C0000692,P009,A0000411,2005,CLOSED,2005,BRANCH
K0000320,C0000693,P009,A0000412,2019,ACTIVE,,BRANCH
K0000321,C0000698,P009,A0000414,2019,ACTIVE,,REMOTE_ASSISTED
K0000322,C0000698,P009,A0000415,2020,ACTIVE,,BRANCH
K0000323,C0000701,P009,A0000416,2000,CLOSED,2006,BRANCH
K0000324,C0000703,P009,A0000417,2017,CLOSED,2024,BRANCH
K0000325,C0000703,P009,A0000418,2018,CLOSED,2022,DIGITAL
K0000326,C0000704,P009,A0000419,1999,CLOSED,2001,BRANCH
K0000327,C0000707,P009,A0000420,2006,CLOSED,2007,BRANCH
K0000328,C0000707,P009,A0000422,2009,CLOSED,2013,BRANCH
K0000329,C0000715,P009,A0000424,1999,CLOSED,2002,BRANCH
K0000330,C0000718,P009,A0000425,2009,CLOSED,2011,BRANCH
K0000331,C0000718,P009,A0000426,2009,CLOSED,2011,BRANCH
K0000332,C0000718,P009,A0000427,2006,CLOSED,2006,BRANCH
K0000333,C0000718,P009,A0000428,2003,CLOSED,2005,BRANCH
K0000334,C0000718,P009,A0000429,2011,CLOSED,2012,BRANCH
K0000335,C0000718,P009,A0000430,2004,CLOSED,2008,BRANCH
K0000336,C0000720,P009,A0000431,2014,CLOSED,2017,BRANCH
K0000337,C0000720,P009,A0000432,2007,CLOSED,2026,BRANCH
K0000338,C0000720,P009,A0000433,2011,ACTIVE,,BRANCH
K0000339,C0000720,P009,A0000434,2009,CLOSED,2014,BRANCH
K0000340,C0000728,P009,A0000435,2014,CLOSED,2021,BRANCH
K0000341,C0000728,P009,A0000436,2017,CLOSED,2022,BRANCH
K0000342,C0000728,P009,A0000437,2019,CLOSED,2024,BRANCH
K0000343,C0000730,P009,A0000438,2012,CLOSED,2014,BRANCH
K0000344,C0000731,P009,A0000439,2002,CLOSED,2022,BRANCH
K0000345,C0000731,P009,A0000440,2006,CLOSED,2008,BRANCH
K0000346,C0000735,P009,A0000442,2011,CLOSED,2023,BRANCH
K0000347,C0000735,P009,A0000443,2014,CLOSED,2023,BRANCH
K0000348,C0000737,P009,A0000446,2015,ACTIVE,,REMOTE_ASSISTED
K0000349,C0000739,P009,A0000447,2008,CLOSED,2026,BRANCH
K0000350,C0000740,P009,A0000448,2020,CLOSED,2024,BRANCH
K0000351,C0000741,P009,A0000449,2016,ACTIVE,,BRANCH
K0000352,C0000742,P009,A0000450,2020,CLOSED,2020,DIGITAL
K0000353,C0000742,P009,A0000451,2020,CLOSED,2021,DIGITAL
K0000354,C0000742,P009,A0000453,2020,CLOSED,2021,REMOTE_ASSISTED
K0000355,C0000743,P009,A0000455,2016,CLOSED,2021,BRANCH
K0000356,C0000743,P009,A0000456,2014,CLOSED,2023,BRANCH
K0000357,C0000743,P009,A0000457,2014,ACTIVE,,REMOTE_ASSISTED
K0000358,C0000743,P009,A0000458,2019,ACTIVE,,BRANCH
K0000359,C0000743,P009,A0000459,2017,CLOSED,2022,BRANCH
K0000360,C0000743,P009,A0000460,2015,CLOSED,2026,BRANCH
K0000361,C0000743,P009,A0000461,2018,ACTIVE,,BRANCH
K0000362,C0000744,P009,A0000464,2019,CLOSED,2019,BRANCH
K0000363,C0000745,P009,A0000465,2000,CLOSED,2022,BRANCH
K0000364,C0000745,P009,A0000466,2002,CLOSED,2014,BRANCH
K0000365,C0000745,P009,A0000467,2008,CLOSED,2021,BRANCH
K0000366,C0000745,P009,A0000468,2014,CLOSED,2020,BRANCH
K0000367,C0000745,P009,A0000469,2013,ACTIVE,,BRANCH
K0000368,C0000745,P009,A0000470,2015,CLOSED,2016,BRANCH
K0000369,C0000745,P009,A0000471,2005,CLOSED,2026,BRANCH
K0000370,C0000745,P009,A0000472,2017,ACTIVE,,REMOTE_ASSISTED
K0000371,C0000750,P009,A0000473,2014,CLOSED,2014,BRANCH
K0000372,C0000750,P009,A0000474,2017,CLOSED,2017,BRANCH
K0000373,C0000750,P009,A0000475,2015,CLOSED,2017,BRANCH
K0000374,C0000759,P009,A0000476,2012,CLOSED,2023,BRANCH
K0000375,C0000759,P009,A0000478,2006,ACTIVE,,BRANCH
K0000376,C0000760,P009,A0000479,2016,CLOSED,2022,BRANCH
K0000377,C0000760,P009,A0000480,2017,CLOSED,2017,BRANCH
K0000378,C0000760,P009,A0000481,2018,ACTIVE,,DIGITAL
K0000379,C0000760,P009,A0000482,2016,CLOSED,2026,BRANCH
